Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,SleepLevel_1,SleepLevel_2,SleepLevel_3
1927972279,2016-04-15,2,475,499,0.9553571428571428,0.0446428571428571,0.0
1927972279,2016-04-26,1,296,315,0.9526315789473684,0.0473684210526315,0.0
1927972279,2016-04-28,1,166,178,0.9325842696629212,0.0674157303370786,0.0
2026352035,2016-04-12,1,503,546,0.9298892988929888,0.0608856088560885,0.0092250922509225
2026352035,2016-04-13,1,531,565,0.948051948051948,0.0445269016697588,0.0074211502782931
2026352035,2016-04-14,1,545,568,0.9491525423728814,0.0423728813559322,0.0084745762711864
2026352035,2016-04-15,1,523,573,0.9150442477876106,0.0725663716814159,0.0123893805309734
2026352035,2016-04-16,1,524,567,0.8896797153024911,0.1014234875444839,0.0088967971530249
2026352035,2016-04-17,1,437,498,0.944954128440367,0.055045871559633,0.0
2026352035,2016-04-19,1,498,540,0.9124513618677044,0.0797665369649805,0.0077821011673151
2026352035,2016-04-20,1,461,510,0.9040816326530612,0.0959183673469387,0.0
2026352035,2016-04-21,1,477,514,0.9479553903345724,0.0520446096654275,0.0
2026352035,2016-04-22,1,520,545,0.9434628975265018,0.0459363957597173,0.0106007067137809
2026352035,2016-04-23,1,522,554,0.9327272727272728,0.06,0.0072727272727272
2026352035,2016-04-24,1,555,591,0.9597902097902098,0.0314685314685314,0.0087412587412587
2026352035,2016-04-25,1,506,531,0.98050139275766,0.0194986072423398,0.0
2026352035,2016-04-27,1,508,545,0.9366197183098592,0.0545774647887323,0.0088028169014084
2026352035,2016-04-28,1,513,545,0.9565217391304348,0.0351966873706004,0.0082815734989648
2026352035,2016-04-29,1,490,510,0.9345637583892618,0.0570469798657718,0.0083892617449664
2026352035,2016-04-30,1,573,607,0.965742251223491,0.0277324632952691,0.0065252854812398
2026352035,2016-05-01,1,527,546,0.9437148217636022,0.048780487804878,0.0075046904315197
2026352035,2016-05-02,1,511,543,0.983739837398374,0.016260162601626,0.0
2026352035,2016-05-04,1,538,560,0.9592198581560284,0.0407801418439716,0.0
2026352035,2016-05-05,1,468,485,0.9547325102880658,0.0432098765432098,0.0020576131687242
2026352035,2016-05-06,1,524,548,0.978021978021978,0.0201465201465201,0.0018315018315018
2026352035,2016-05-07,1,511,521,0.9559633027522936,0.0385321100917431,0.0055045871559633
2026352035,2016-05-08,1,541,568,0.9545454545454546,0.0419580419580419,0.0034965034965034
2026352035,2016-05-09,1,531,556,0.9637096774193548,0.0282258064516129,0.0080645161290322
2026352035,2016-05-10,1,357,380,0.9239904988123516,0.0712589073634204,0.004750593824228
2026352035,2016-05-11,1,523,553,0.9463955637707948,0.0462107208872458,0.0073937153419593
2026352035,2016-05-12,1,456,485,0.9727272727272728,0.0272727272727272,0.0
2320127002,2016-04-23,1,61,69,0.8840579710144928,0.0579710144927536,0.0579710144927536
2347167796,2016-04-13,1,467,531,0.8513513513513513,0.1447876447876447,0.0038610038610038
2347167796,2016-04-14,1,445,489,0.9375,0.05625,0.00625
2347167796,2016-04-15,1,452,504,0.8905109489051095,0.1021897810218978,0.0072992700729927
2347167796,2016-04-17,1,556,602,0.9288888888888888,0.0637037037037037,0.0074074074074074
2347167796,2016-04-18,1,500,557,0.8695652173913043,0.1190926275992438,0.0113421550094517
2347167796,2016-04-19,1,465,514,0.9230769230769232,0.0694789081885856,0.0074441687344913
2347167796,2016-04-21,1,460,484,0.9478672985781992,0.0426540284360189,0.0094786729857819
